typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20250101","2025","52","2025","31","AZE","Azerbaijan","M","Import","842","USA","USA","0","W00","World","H6","HS","true","851713","Telephone sets; smartphones for cellular or other wireless networks","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","1","false","5","u","1","false","0.25","false","0","false","225.03",,"225.03","0","false","true",
"C","A","20250101","2025","52","2025","32","ARG","Argentina","M","Import","842","USA","USA","0","W00","World","H6","HS","true","851713","Telephone sets; smartphones for cellular or other wireless networks","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","11","false","5","u","11","false","8.68","false","0","false","11168.33","11074.59","11168.33","0","false","true",
"C","A","20250101","2025","52","2025","36","AUS","Australia","M","Import","842","USA","USA","0","W00","World","H6","HS","true","851713","Telephone sets; smartphones for cellular or other wireless networks","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","1667","false","5","u","1667","false","0","true","0","false","723498.286","688975.953","723498.286","4","false","true",
"C","A","20250101","2025","52","2025","64","BTN","Bhutan","M","Import","842","USA","USA","0","W00","World","H6","HS","true","851713","Telephone sets; smartphones for cellular or other wireless networks","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","110","false","5","u","110","false","70.558","true","0","false","71213.374",,"71213.374","4","false","true",
"C","A","20250101","2025","52","2025","70","BIH","Bosnia Herzegovina","M","Import","842","USA","USA","0","W00","World","H6","HS","true","851713","Telephone sets; smartphones for cellular or other wireless networks","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","77.661","true","8","kg","230.42","false","230.42","false","0","false","25489.642",,"25489.642","2","false","true",
"C","A","20250101","2025","52","2025","76","BRA","Brazil","M","Import","842","USA","USA","0","W00","World","H6","HS","true","851713","Telephone sets; smartphones for cellular or other wireless networks","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","382","false","5","u","382","false","182","false","0","false","114934","112693","114934","0","false","true",
"C","A","20250101","2025","52","2025","84","BLZ","Belize","M","Import","842","USA","USA","0","W00","World","H6","HS","true","851713","Telephone sets; smartphones for cellular or other wireless networks","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","5069.805","true","-1","N/A","0","false","33238.92","true","0","false","1663993.515",,"1663993.515","6","false","true",
"C","A","20250101","2025","52","2025","124","CAN","Canada","M","Import","842","USA","USA","0","W00","World","H6","HS","true","851713","Telephone sets; smartphones for cellular or other wireless networks","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","38466","false","5","u","38466","false","6714.546","true","0","false",,"6776870.232","6776870.232","4","false","true",
"C","A","20250101","2025","52","2025","152","CHL","Chile","M","Import","842","USA","USA","0","W00","World","H6","HS","true","851713","Telephone sets; smartphones for cellular or other wireless networks","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","20153.212","true","8","kg","25737.991","false","25737.991","false","0","false","6614615.698","6166276.758","6614615.698","2","true","false",
"C","A","20250101","2025","52","2025","191","HRV","Croatia","M","Import","842","USA","USA","0","W00","World","H6","HS","true","851713","Telephone sets; smartphones for cellular or other wireless networks","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","269","false","5","u","269","false","68.498","false","0","false","95579",,"95579","0","true","false",
"C","A","20250101","2025","52","2025","196","CYP","Cyprus","M","Import","842","USA","USA","0","W00","World","H6","HS","true","851713","Telephone sets; smartphones for cellular or other wireless networks","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","224","false","5","u","224","false","225","false","0","false","146993.855",,"146993.855","0","false","true",
"C","A","20250101","2025","52","2025","203","CZE","Czechia","M","Import","842","USA","USA","0","W00","World","H6","HS","true","851713","Telephone sets; smartphones for cellular or other wireless networks","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","5126","false","5","u","5126","false","1064.494","true","0","false","1937089","1877885","1937089","4","false","true",
"C","A","20250101","2025","52","2025","208","DNK","Denmark","M","Import","842","USA","USA","0","W00","World","H6","HS","true","851713","Telephone sets; smartphones for cellular or other wireless networks","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","1077","false","5","u","1077","false","800","false","0","false","945733.405",,"945733.405","0","true","false",
"C","A","20250101","2025","52","2025","222","SLV","El Salvador","M","Import","842","USA","USA","0","W00","World","H6","HS","true","851713","Telephone sets; smartphones for cellular or other wireless networks","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","11168.989","true","8","kg","42055.56","false","42055.56","false","0","false","3665846.01",,"3665846.01","2","true","false",
"C","A","20250101","2025","52","2025","233","EST","Estonia","M","Import","842","USA","USA","0","W00","World","H6","HS","true","851713","Telephone sets; smartphones for cellular or other wireless networks","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","3170","false","5","u","3170","false","994.143","false","0","false","1164727.31",,"1164727.31","0","false","true",
"C","A","20250101","2025","52","2025","242","FJI","Fiji","M","Import","842","USA","USA","0","W00","World","H6","HS","true","851713","Telephone sets; smartphones for cellular or other wireless networks","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","2423.249","true","8","kg","1427.06","false","1427.06","false","0","false","795350.364",,"795350.364","2","true","false",
"C","A","20250101","2025","52","2025","246","FIN","Finland","M","Import","842","USA","USA","0","W00","World","H6","HS","true","851713","Telephone sets; smartphones for cellular or other wireless networks","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","2397","false","5","u","2397","false","1470.905","true","0","false","909682.791",,"909682.791","4","false","true",
