,commodity,cty_code,dist_unlade,port_unlade,year,month,gen_val_mo,air_val_mo,air_swt_mo,ves_val_mo,ves_swt_mo,cnt_val_mo,cnt_swt_mo,gen_val_yr,air_val_yr,air_swt_yr,ves_val_yr,ves_swt_yr,cnt_val_yr,cnt_swt_yr,port_full,distance,co2
977416,852842,5330,17,04,2025,12,16830,16830,217,0,0,0,0,16830,16830,217,0,0,0,0,1704,16049.721493055235,0.0
977420,852842,5700,07,12,2025,12,0,0,0,0,0,0,0,4000,0,0,0,0,0,0,0712,19710.165752657576,0.0
977421,852842,5700,11,01,2025,12,0,0,0,0,0,0,0,2425,2425,3,0,0,0,0,1101,19710.165752657576,0.0
977422,852842,5700,20,02,2025,12,2400,2400,56,0,0,0,0,2400,2400,56,0,0,0,0,2002,18653.835136477017,0.0
977423,852842,5700,27,04,2025,12,0,0,0,0,0,0,0,10186,0,0,10186,570,10186,570,2704,10674.961095071822,0.0
977424,852842,5700,28,01,2025,12,0,0,0,0,0,0,0,3000,3000,7,0,0,0,0,2801,10028.77593686844,0.0
977425,852842,5700,31,26,2025,12,6784,6784,43,0,0,0,0,6784,6784,43,0,0,0,0,3126,7874.489457920036,0.0
977463,852849,5520,19,01,2025,12,0,0,0,0,0,0,0,93728,0,0,93728,492,93728,492,1901,21494.9028728793,0.0
977464,852849,5520,27,04,2025,12,22800,0,0,22800,656,22800,656,22800,0,0,22800,656,22800,656,2704,13525.16778851572,62107570.48486418
977465,852849,5520,31,26,2025,12,0,0,0,0,0,0,0,29290,29290,627,0,0,0,0,3126,10724.696151363942,0.0
977467,852849,5520,53,01,2025,12,0,0,0,0,0,0,0,42100,0,0,42100,1245,42100,1245,5301,21740.992499011183,0.0
977470,852849,5700,07,08,2025,12,0,0,0,0,0,0,0,30847,0,0,0,0,0,0,0708,19710.165752657576,0.0
977471,852849,5700,10,03,2025,12,0,0,0,0,0,0,0,4860,2100,16,2760,2680,2760,2680,1003,19777.210656566334,0.0
977472,852849,5700,17,03,2025,12,0,0,0,0,0,0,0,5331,0,0,5331,1434,5331,1434,1703,19022.34637113229,0.0
977473,852849,5700,20,02,2025,12,0,0,0,0,0,0,0,27025,27025,51,0,0,0,0,2002,18653.835136477017,0.0
977474,852849,5700,27,04,2025,12,0,0,0,0,0,0,0,85039,0,0,85039,14803,85039,14803,2704,10674.961095071822,0.0
977475,852849,5700,27,09,2025,12,11525,0,0,11525,1094,11525,1094,49252,0,0,49252,16903,49252,16903,2709,10674.961095071822,46713629.75203429
977476,852849,5700,27,20,2025,12,0,0,0,0,0,0,0,14207,14207,191,0,0,0,0,2720,10799.297077288793,0.0
977477,852849,5700,28,01,2025,12,0,0,0,0,0,0,0,2001,2001,28,0,0,0,0,2801,10028.77593686844,0.0
977478,852849,5700,31,26,2025,12,0,0,0,0,0,0,0,7920,7920,170,0,0,0,0,3126,7874.489457920036,0.0
977479,852849,5700,34,03,2025,12,0,0,0,0,0,0,0,4550,0,0,0,0,0,0,3403,24260.13495072433,0.0
977480,852849,5700,38,02,2025,12,0,0,0,0,0,0,0,11361,0,0,0,0,0,0,3802,24274.914900709464,0.0
977483,852849,5700,52,03,2025,12,0,0,0,0,0,0,0,2312,0,0,2312,410,2312,410,5203,18422.16366720927,0.0
977484,852849,5700,53,01,2025,12,0,0,0,0,0,0,0,9401,0,0,9401,41,9401,41,5301,18890.7858055673,0.0
977485,852849,5700,53,09,2025,12,0,0,0,0,0,0,0,16415,16415,524,0,0,0,0,5309,18890.7858055673,0.0
977486,852849,5700,55,01,2025,12,13468,13468,335,0,0,0,0,20568,20568,1451,0,0,0,0,5501,18898.407561822307,0.0
977487,852849,5800,17,04,2025,12,40063,40063,288,0,0,0,0,48638,48638,356,0,0,0,0,1704,18153.60222059694,0.0
977488,852849,5800,28,01,2025,12,0,0,0,0,0,0,0,36750,36750,279,0,0,0,0,2801,9160.031786333087,0.0
977489,852849,5800,30,29,2025,12,0,0,0,0,0,0,0,21150,21150,151,0,0,0,0,3029,8693.025431067475,0.0
977490,852849,5800,31,26,2025,12,0,0,0,0,0,0,0,2500,2500,22,0,0,0,0,3126,7005.745307384682,0.0
977491,852849,5800,32,05,2025,12,7438,7438,53,0,0,0,0,11263,11263,86,0,0,0,0,3205,7961.796415398067,0.0
977492,852849,5800,34,01,2025,12,0,0,0,0,0,0,0,8317,0,0,0,0,0,0,3401,23391.390800188976,0.0
977493,852849,5800,38,07,2025,12,0,0,0,0,0,0,0,3613,3613,25,0,0,0,0,3807,23406.17075017411,0.0
977494,852849,5800,53,09,2025,12,0,0,0,0,0,0,0,7650,7650,50,0,0,0,0,5309,18022.041655031942,0.0
977997,852852,5330,09,01,2025,12,0,0,0,0,0,0,0,8625,0,0,0,0,0,0,0901,14902.902193881313,0.0
977998,852852,5330,10,01,2025,12,0,0,0,0,0,0,0,1254325,0,0,1254325,96010,1254325,96010,1001,15127.000224562184,0.0
977999,852852,5330,10,03,2025,12,1512070,0,0,1512070,98886,1512070,98886,22771909,2499,6,22769410,1737115,22769410,1737115,1003,15127.697803178915,8975505149.790901
978000,852852,5330,10,12,2025,12,0,0,0,0,0,0,0,64282,64282,182,0,0,0,0,1012,15121.962932715096,0.0
978001,852852,5330,11,08,2025,12,3844,3844,102,0,0,0,0,3844,3844,102,0,0,0,0,1108,15371.015076179841,0.0
978002,852852,5330,16,01,2025,12,0,0,0,0,0,0,0,180626,0,0,180626,4759,180626,4759,1601,15956.929097289123,0.0
978003,852852,5330,17,03,2025,12,1986969,0,0,1986969,162089,1986969,162089,22498930,0,0,22498930,1649387,22498930,1649387,1703,16049.721493055235,15608899842.526981
978004,852852,5330,17,04,2025,12,0,0,0,0,0,0,0,12000,12000,237,0,0,0,0,1704,16049.721493055235,0.0
978005,852852,5330,20,01,2025,12,0,0,0,0,0,0,0,438348,0,0,438348,38139,438348,38139,2001,17647.858721628898,0.0
978006,852852,5330,20,02,2025,12,0,0,0,0,0,0,0,21020,21020,123,0,0,0,0,2002,17647.858721628898,0.0
978007,852852,5330,27,04,2025,12,5881518,0,0,5881518,361756,5881518,361756,28869958,0,0,28869958,2082791,28380194,2036073,2704,19687.26646080581,42731920594.77161
978008,852852,5330,27,09,2025,12,0,0,0,0,0,0,0,1112464,0,0,1112464,68465,1112464,68465,2709,19687.26646080581,0.0
978009,852852,5330,27,20,2025,12,0,0,0,0,0,0,0,209226,209226,1551,0,0,0,0,2720,19811.60244302278,0.0
978010,852852,5330,31,26,2025,12,0,0,0,0,0,0,0,2065,2065,38,0,0,0,0,3126,16886.79482365403,0.0
978012,852852,5330,52,01,2025,12,1341563,0,0,1341563,23302,1341563,23302,1341563,0,0,1341563,23302,1341563,23302,5201,16332.503617508959,2283479995.771163
978013,852852,5330,53,01,2025,12,0,0,0,0,0,0,0,1560375,0,0,1560375,126283,1560375,126283,5301,18043.69773463056,0.0
978038,852852,5520,07,01,2025,12,0,0,0,0,0,0,0,8640,0,0,0,0,0,0,0701,20270.323827396063,0.0
978039,852852,5520,07,08,2025,12,0,0,0,0,0,0,0,42056,0,0,0,0,0,0,0708,20270.323827396063,0.0
978040,852852,5520,07,12,2025,12,0,0,0,0,0,0,0,41555,0,0,0,0,0,0,0712,20270.323827396063,0.0
978041,852852,5520,09,01,2025,12,236007,0,0,0,0,0,0,831726,0,0,0,0,0,0,0901,19802.210945097537,0.0
978042,852852,5520,10,01,2025,12,0,0,0,0,0,0,0,640903,0,0,640903,27262,640903,27262,1001,20026.308975778407,0.0
978043,852852,5520,10,03,2025,12,24290378,0,0,24290378,977063,24290378,977063,226937586,0,0,226937586,12995540,226934400,12995497,1003,20027.00655439514,136973529735.39883
978044,852852,5520,10,12,2025,12,20408,20408,55,0,0,0,0,784235,784235,10346,0,0,0,0,1012,20021.27168393132,0.0
978045,852852,5520,11,01,2025,12,0,0,0,0,0,0,0,14801,3150,47,11651,29,11651,29,1101,20270.323827396063,0.0
978046,852852,5520,14,01,2025,12,4826374,0,0,4826374,285550,4826374,285550,26512897,0,0,26512897,1697617,26512897,1697617,1401,20353.93379194727,40684460560.033806
978047,852852,5520,16,01,2025,12,139126,0,0,139126,11697,139126,11697,261432,0,0,261432,21805,261432,21805,1601,20856.23784850532,1707687898.7977672
978048,852852,5520,17,01,2025,12,0,0,0,0,0,0,0,224112,0,0,224112,12640,224112,12640,1701,21045.735328884857,0.0
978049,852852,5520,17,03,2025,12,10010875,0,0,10010875,377475,10010875,377475,94655820,0,0,94655820,5433704,94655820,5433704,1703,20949.03024427143,55354146340.1945
978050,852852,5520,17,04,2025,12,0,0,0,0,0,0,0,47325,47325,662,0,0,0,0,1704,20949.03024427143,0.0
978051,852852,5520,18,16,2025,12,4700,0,0,4700,39,0,0,4700,0,0,4700,39,0,0,1816,21243.942850932923,5799596.398304688
978052,852852,5520,19,01,2025,12,148889,0,0,148889,12518,148889,12518,183060,0,0,183060,15391,183060,15391,1901,21494.9028728793,1883512359.1389213
978053,852852,5520,20,02,2025,12,2333,2333,17,0,0,0,0,29533,29533,78,0,0,0,0,2002,21504.0418299209,0.0
978054,852852,5520,20,07,2025,12,0,0,0,0,0,0,0,130252,0,0,0,0,0,0,2007,21503.83783009045,0.0
978055,852852,5520,23,05,2025,12,3526,0,0,0,0,0,0,242545,0,0,0,0,0,0,2305,21754.909290827367,0.0
978056,852852,5520,24,01,2025,12,0,0,0,0,0,0,0,127824,0,0,0,0,0,0,2401,15711.977976669225,0.0
978057,852852,5520,26,04,2025,12,11878,0,0,0,0,0,0,11878,0,0,0,0,0,0,2604,13649.503770732692,0.0
978058,852852,5520,27,04,2025,12,113591850,0,0,113591850,5190999,113591850,5190999,879570143,0,0,879570143,42905223,878558967,42875754,2704,13525.16778851572,491463927255.1212
978059,852852,5520,27,09,2025,12,18487464,0,0,18487464,674742,18487464,674742,184177732,0,0,184177732,7098378,182968648,7092849,2709,13525.16778851572,63881991347.71072
978060,852852,5520,27,20,2025,12,22121,22121,757,0,0,0,0,1617223,1617223,48156,0,0,0,0,2720,13649.503770732692,0.0
978061,852852,5520,27,21,2025,12,0,0,0,0,0,0,0,7037,7037,890,0,0,0,0,2721,13525.16778851572,0.0
978062,852852,5520,27,22,2025,12,0,0,0,0,0,0,0,40618,40618,1046,0,0,0,0,2722,13525.16778851572,0.0
978063,852852,5520,28,01,2025,12,74201,74201,275,0,0,0,0,1684299,1684299,7480,0,0,0,0,2801,12878.98263031234,0.0
978064,852852,5520,28,11,2025,12,138560,0,0,138560,13764,138560,13764,1022537,0,0,1022537,70438,1022537,70438,2811,12896.948702420039,1242595213.5807657
978065,852852,5520,28,34,2025,12,0,0,0,0,0,0,0,17975,17975,1791,0,0,0,0,2834,12878.98263031234,0.0
978066,852852,5520,30,01,2025,12,83516,0,0,83516,6552,83516,6552,265886,0,0,265886,21231,265886,21231,3001,12376.560758683558,567638582.6362627
978067,852852,5520,30,02,2025,12,0,0,0,0,0,0,0,477449,0,0,477449,18757,477449,18757,3002,12411.976275046727,0.0
978068,852852,5520,30,04,2025,12,0,0,0,0,0,0,0,103050,0,0,0,0,0,0,3004,12261.51655151705,0.0
978069,852852,5520,30,29,2025,12,0,0,0,0,0,0,0,165445,165445,6054,0,0,0,0,3029,12411.976275046727,0.0
978070,852852,5520,31,26,2025,12,0,0,0,0,0,0,0,238237,238237,5790,0,0,0,0,3126,10724.696151363942,0.0
978071,852852,5520,32,05,2025,12,0,0,0,0,0,0,0,65400,65400,148,0,0,0,0,3205,10799.953588542123,0.0
978072,852852,5520,32,79,2025,12,0,0,0,0,0,0,0,3080,3080,41,0,0,0,0,3279,10456.010547281663,0.0
978073,852852,5520,34,01,2025,12,0,0,0,0,0,0,0,5940,0,0,0,0,0,0,3401,22259.71382972218,0.0
978074,852852,5520,35,02,2025,12,0,0,0,0,0,0,0,3820,3820,9,0,0,0,0,3502,22379.592371497587,0.0
978075,852852,5520,36,04,2025,12,307440,0,0,307440,23688,307440,23688,549360,0,0,549360,49518,549360,49518,3604,13391.398428860664,2220508121.87996
978076,852852,5520,38,01,2025,12,2432,0,0,0,0,0,0,86304,0,0,0,0,0,0,3801,22379.592371497587,0.0
978077,852852,5520,38,02,2025,12,0,0,0,0,0,0,0,694517,0,0,0,0,0,0,3802,22274.493779707314,0.0
978080,852852,5520,52,01,2025,12,654327,0,0,654327,35961,654327,35961,13748292,0,0,13748292,539462,13748292,539462,5201,21231.81236872519,5344620432.142086
978081,852852,5520,52,03,2025,12,0,0,0,0,0,0,0,103239,0,0,103239,5801,103239,5801,5203,21225.83470011344,0.0
978083,852852,5520,53,01,2025,12,117159,0,0,117159,5695,117159,5695,377239,0,0,377239,27561,377239,27561,5301,21740.992499011183,866704665.9730808
978084,852852,5520,53,09,2025,12,0,0,0,0,0,0,0,51951,51951,826,0,0,0,0,5309,21740.992499011183,0.0
978085,852852,5520,54,01,2025,12,0,0,0,0,0,0,0,2808,2808,85,0,0,0,0,5401,21816.27159492347,0.0
978086,852852,5520,55,01,2025,12,0,0,0,0,0,0,0,308060,308060,3288,0,0,0,0,5501,21748.61425526619,0.0
978134,852852,5700,01,06,2025,12,0,0,0,0,0,0,0,58664,0,0,0,0,0,0,0106,20236.83722779758,0.0
978135,852852,5700,02,09,2025,12,0,0,0,0,0,0,0,2864,0,0,0,0,0,0,0209,22211.870508763586,0.0
978136,852852,5700,02,12,2025,12,0,0,0,0,0,0,0,21225,0,0,0,0,0,0,0212,22211.870508763586,0.0
978137,852852,5700,04,01,2025,12,141435,0,0,141435,13022,141435,13022,2667240,0,0,2667240,246123,2667240,246123,0401,22786.719112209877,1186914625.1167881
