,commodity,cty_code,dist_unlade,port_unlade,year,month,gen_val_mo,air_val_mo,air_swt_mo,ves_val_mo,ves_swt_mo,cnt_val_mo,cnt_swt_mo,gen_val_yr,air_val_yr,air_swt_yr,ves_val_yr,ves_swt_yr,cnt_val_yr,cnt_swt_yr,port_full,distance,co2
799090,845011,5520,10,03,2024,12,1405708,0,0,1405708,223317,1405708,223317,12207665,0,0,12207665,1841907,12207665,1841907,1003,20027.00655439514,31306597158.955013
799091,845011,5520,13,03,2024,12,10612,0,0,10612,2683,10612,2683,53083,0,0,53083,11817,53083,11817,1303,20589.05445521992,386683031.72348535
799092,845011,5520,14,01,2024,12,0,0,0,0,0,0,0,28435,0,0,28435,7013,28435,7013,1401,20353.93379194727,0.0
799093,845011,5520,16,01,2024,12,0,0,0,0,0,0,0,22892,0,0,22892,6745,22892,6745,1601,20856.23784850532,0.0
799094,845011,5520,17,03,2024,12,15017,0,0,15017,4488,15017,4488,641526,0,0,641526,100887,641526,100887,1703,20949.03024427143,658134734.1540313
799095,845011,5520,18,01,2024,12,105259,0,0,105259,13663,105259,13663,809038,0,0,809038,129065,809038,129065,1801,21276.406622826886,2034896805.8137863
799096,845011,5520,19,01,2024,12,0,0,0,0,0,0,0,8026,0,0,8026,2593,8026,2593,1901,21494.9028728793,0.0
799097,845011,5520,27,04,2024,12,826222,0,0,826222,89496,826222,89496,5762904,0,0,5762904,824534,5762904,824534,2704,13525.16778851572,8473138914.80702
799098,845011,5520,27,09,2024,12,11516,0,0,11516,2056,11516,2056,2181255,0,0,2181255,323782,2181255,323782,2709,13525.16778851572,194654214.81231827
799099,845011,5520,28,11,2024,12,6322,0,0,6322,1766,6322,1766,78205,0,0,78205,19932,78205,19932,2811,12896.948702420039,159432079.85931653
799100,845011,5520,29,04,2024,12,7813,0,0,7813,2442,7813,2442,49623,0,0,49623,10922,49623,10922,2904,12471.036582506531,213179899.34136665
799101,845011,5520,30,01,2024,12,84892,0,0,84892,11914,84892,11914,251943,0,0,251943,40039,251943,40039,3001,12376.560758683558,1032180414.1526914
799102,845011,5520,30,02,2024,12,84452,0,0,84452,11914,84452,11914,472688,0,0,472688,70226,472688,70226,3002,12411.976275046727,1035133997.3863469
799103,845011,5520,52,01,2024,12,40320,0,0,40320,7812,40320,7812,544152,0,0,544152,120378,544152,120378,5201,21231.81236872519,1161040427.5713685
799104,845011,5520,53,01,2024,12,3744,0,0,3744,1266,3744,1266,104013,0,0,104013,20324,104013,20324,5301,21740.992499011183,192668675.5262371
799105,845011,5700,10,03,2024,12,670835,0,0,670835,215222,670835,215222,17758034,0,0,17758034,3971742,17758034,3971742,1003,19777.210656566334,17025963327.71008
799106,845011,5700,13,03,2024,12,321324,0,0,321324,65700,321324,65700,4758599,0,0,4758599,1255378,4758599,1255378,1303,19663.71566713922,5167624477.324186
799107,845011,5700,14,01,2024,12,848992,0,0,848992,343716,848992,343716,8271760,0,0,8271760,3133569,8271760,3133569,1401,19428.595003866565,26711675841.396
799108,845011,5700,15,01,2024,12,0,0,0,0,0,0,0,85155,0,0,85155,36570,85155,36570,1501,19085.631985613796,0.0
799109,845011,5700,16,01,2024,12,1046010,0,0,1046010,265123,1046010,265123,18641438,0,0,18641438,4310485,18641438,4310485,1601,19013.219662419055,20163367346.23811
799110,845011,5700,17,03,2024,12,141279,0,0,141279,33275,141279,33275,4196259,0,0,4196259,1181964,4196259,1181964,1703,19022.34637113229,2531874301.997708
799111,845011,5700,18,01,2024,12,50192,0,0,50192,7173,50192,7173,831095,0,0,831095,142137,831095,142137,1801,18426.199929383,528684528.3738571
799112,845011,5700,18,03,2024,12,321324,0,0,321324,65700,321324,65700,1134478,0,0,1134478,238541,1134478,238541,1803,18893.35511925648,4965173725.340603
799113,845011,5700,27,04,2024,12,1486851,0,0,1486851,343437,1486851,343437,23586495,0,0,23586495,5608869,23586495,5608869,2704,10674.961095071822,14664706454.432724
799114,845011,5700,27,09,2024,12,2234073,0,0,2234073,622843,2234073,622843,63612155,0,0,63612155,14490949,63612155,14490949,2709,10674.961095071822,26595299173.351273
799115,845011,5700,28,01,2024,12,0,0,0,0,0,0,0,2143,2143,62,0,0,0,0,2801,10028.77593686844,0.0
799116,845011,5700,28,11,2024,12,0,0,0,0,0,0,0,39935,0,0,39935,13238,37605,12488,2811,10046.74200897614,0.0
799117,845011,5700,30,01,2024,12,320359,0,0,320359,138966,320359,138966,2521005,0,0,2521005,709603,2521005,709603,3001,9526.354065239659,5295357276.120378
799118,845011,5700,30,02,2024,12,208393,0,0,208393,49924,208393,49924,1924524,0,0,1924524,484627,1924524,484627,3002,9561.769581602828,1909447138.3677583
